Analyte	Target	EntrezGeneSymbol	Estimate	Standard_error	Pvalue	FDR	bonferroni	diffexpressed
X25452.16	MSD2	MSANTD2	0.001961222	0.001074014	0.068107804	0.115708815	1	Not-Significant
X21758.65	SENP2	SENP2	0.002146768	0.001175695	0.068125931	0.115708815	1	Not-Significant
X12553.5	VRK1	VRK1	0.001241638	0.000680033	0.068140227	0.115708815	1	Not-Significant
X24945.16	SNX27	SNX27	-0.003059306	0.001675619	0.068151159	0.115708815	1	Not-Significant
X5623.11	CLM1	CD300LF	-0.001370319	0.000750627	0.068182613	0.115724649	1	Not-Significant
X12473.48	KCTD5	KCTD5	-0.001790845	0.000981021	0.068193412	0.115724649	1	Not-Significant
X3005.5	PTP-1B	PTPN1	-0.002984173	0.001635225	0.068278435	0.115840965	1	Not-Significant
X21289.36	Sperm-associated antigen 7	SPAG7	0.002099709	0.00115108	0.068402396	0.116023273	1	Not-Significant
X17495.141	SIR3	SIRT3	0.00332167	0.001821179	0.068433998	0.116048871	1	Not-Significant
X4540.11	CBX5	CBX5	-0.001364254	0.000748153	0.06849445	0.116088978	1	Not-Significant
X20247.17	DPYL4	DPYSL4	-0.001844968	0.001011777	0.068499152	0.116088978	1	Not-Significant
X10967.12	PRL	PRL	-0.008316052	0.00456053	0.068507196	0.116088978	1	Not-Significant
X23256.21	TLDC2	TLDC2	-0.001563897	0.000859411	0.069067115	0.117009581	1	Not-Significant
X18417.3	AS3MT	AS3MT	0.003865787	0.002125309	0.069188635	0.117187208	1	Not-Significant
X3236.12	GSK-3 beta	GSK3B	0.006482395	0.003564874	0.069297884	0.117339481	1	Not-Significant
X21346.71	PYRD	DHODH	0.001292137	0.000710695	0.069311925	0.117339481	1	Not-Significant
X11212.7	TXND5	TXNDC5	0.00825144	0.004541641	0.069508373	0.117643716	1	Not-Significant
X19325.21	ABHEB	ABHD14B	-0.001552935	0.000855401	0.069724975	0.117981909	1	Not-Significant
X5095.21	KI2L4	KIR2DL4	-0.001511518	0.000833421	0.070001937	0.118401476	1	Not-Significant
X15376.134	CATE	CTSE	-0.001772337	0.000977238	0.07000662	0.118401476	1	Not-Significant
X17786.5	GGPPS	GGPS1	-0.001351652	0.000745415	0.07005455	0.118454037	1	Not-Significant
X7922.5	Adrenomedullin	ADM	0.00428975	0.002367665	0.07028436	0.118814037	1	Not-Significant
X9319.59	TMED4	TMED4	-0.001263591	0.000697509	0.070318481	0.118819792	1	Not-Significant
X3875.62	ARI3A	ARID3A	-0.001765738	0.000974703	0.070321572	0.118819792	1	Not-Significant
X4149.8	PDGF-BB	PDGFB	-0.001438243	0.000793995	0.07034838	0.11883652	1	Not-Significant
X8099.42	SPON2	SPON2	-0.009431406	0.0052092	0.070481217	0.11903231	1	Not-Significant
X23317.10	DHR11	DHRS11	-0.006004232	0.003321705	0.070953104	0.119800473	1	Not-Significant
X2700.56	Protein S	PROS1	0.005129457	0.002838647	0.071028201	0.119898469	1	Not-Significant
X22496.21	LYRM1	LYRM1	-0.017913765	0.009916139	0.071104495	0.119998438	1	Not-Significant
X10354.57	STAT3	STAT3	-0.00493381	0.002731256	0.071124816	0.12000392	1	Not-Significant
X6354.13	HPHL1	HEPHL1	-0.001443849	0.000799513	0.071202711	0.120106517	1	Not-Significant
X9522.3	AIF	AIFM1	0.002831126	0.001567806	0.071222473	0.120111028	1	Not-Significant
X18255.6	NB5R1	CYB5R1	-0.00116697	0.000646334	0.071261204	0.120147517	1	Not-Significant
X3341.33	ABL1	ABL1	-0.001701921	0.000942799	0.071318359	0.120198583	1	Not-Significant
X18243.9	Cytidylate kinase	CMPK1	-0.002149749	0.001190919	0.071325692	0.120198583	1	Not-Significant
X25492.7	TOM1	TOM1	0.002812565	0.001558328	0.071370622	0.12023496	1	Not-Significant
X2994.71	IL-1Rrp2	IL1RL2	-0.004314587	0.002390648	0.071381489	0.12023496	1	Not-Significant
X12675.14	SYDC	DARS1	-0.011373835	0.006302813	0.071414477	0.120261706	1	Not-Significant
X12715.30	DCP1B	DCP1B	-0.001850771	0.001025896	0.071504763	0.120384905	1	Not-Significant
X25941.4	OA synthetase	OASL	-0.003931038	0.002179537	0.071566337	0.120459717	1	Not-Significant
X18870.1	CD3E	CD3E	0.001392674	0.000772315	0.071623658	0.120527338	1	Not-Significant
X15540.6	Vimentin	VIM	0.022499092	0.012481262	0.071717068	0.120655642	1	Not-Significant
X10086.39	CBS	CBS	0.002236619	0.001240889	0.07174578	0.120657297	1	Not-Significant
X10534.40	PARP:BRCT domain	PARP1	-0.001479047	0.000820642	0.07176921	0.120657297	1	Not-Significant
X17823.40	SMD2	SNRPD2	-0.001676862	0.000930404	0.071769549	0.120657297	1	Not-Significant
X23261.27	CA050	C1orf50	0.002853674	0.001583452	0.07178724	0.12065818	1	Not-Significant
X13399.33	RELL1	RELL1	0.001806666	0.001002714	0.071848874	0.120732903	1	Not-Significant
X2607.54	CLF-1/CLC Complex	CRLF1|CLCF1	-0.001748917	0.000971055	0.071965179	0.120899437	1	Not-Significant
X20558.4	EPHA8	EPHA8	-0.003607656	0.002003881	0.072080086	0.121063542	1	Not-Significant
X10754.113	Prokineticin-2	PROK2	0.004638826	0.002578791	0.072315684	0.121403972	1	Not-Significant
X5133.17	TGF-b R II	TGFBR2	-0.001382804	0.00076871	0.072317318	0.121403972	1	Not-Significant
X21384.2	Alpha-L-fucosidase I	FUCA1	0.011302089	0.006286998	0.072507868	0.121694795	1	Not-Significant
X17475.18	TOPK	PBK	0.001873912	0.001042887	0.072628206	0.121867668	1	Not-Significant
X17138.8	GST A1-1	GSTA1	-0.001189303	0.000662163	0.072752741	0.122047498	1	Not-Significant
X8893.29	PARP:region 1	PARP1	-0.002254034	0.001255347	0.072836833	0.122159413	1	Not-Significant
X12077.32	Myostatin	MSTN	-0.004016009	0.002236889	0.072879639	0.122202047	1	Not-Significant
X22466.27	HES5	HES5	0.003102382	0.00172814	0.072912584	0.122228131	1	Not-Significant
X6415.90	CPN2	CPN2	-0.020020894	0.011154899	0.07295397	0.122268349	1	Not-Significant
X22387.26	PITX3	PITX3	-0.00286435	0.001596154	0.072999815	0.122316018	1	Not-Significant
X10472.53	HVEM	TNFRSF14	0.003154716	0.001758343	0.073062318	0.122391572	1	Not-Significant
X9568.289	FCAMR	FCAMR	0.001506025	0.000840253	0.073351417	0.1228405	1	Not-Significant
X9487.60	Growth hormone-releasing factor	GHRH	-0.002022759	0.001128605	0.073365261	0.1228405	1	Not-Significant
X7197.2	DJC15	DNAJC15	-0.001378879	0.000771262	0.074074547	0.123998568	1	Not-Significant
X20411.52	TTC33	TTC33	0.002907973	0.001627664	0.074284216	0.124319941	1	Not-Significant
X7747.47	NDUBB	NDUFB11	-0.00129408	0.00072439	0.074305627	0.124326172	1	Not-Significant
X6594.64	SMDC1	SAYSD1	-0.001680653	0.000941125	0.074409742	0.124470746	1	Not-Significant
X9058.1	TIM21	TIMM21	-0.00163669	0.000916785	0.07449236	0.1245793	1	Not-Significant
X18882.7	CSTN2	CLSTN2	0.006816863	0.003819313	0.074558569	0.124660367	1	Not-Significant
X8971.9	NRX1A	NRXN1	0.007325848	0.004105376	0.074619624	0.124726111	1	Not-Significant
X12391.27	PDZD7	PDZD7	-0.003864083	0.002165516	0.074633379	0.124726111	1	Not-Significant
X8309.12	HYAL1	HYAL1	-0.004330751	0.002427894	0.07473635	0.124868507	1	Not-Significant
X2796.62	Fibrinogen	FGA|FGB|FGG	0.017876447	0.010025138	0.074836334	0.125005844	1	Not-Significant
X5301.7	Eotaxin	CCL11	0.006744257	0.003783974	0.074974387	0.125206692	1	Not-Significant
X24678.10	AVEN	AVEN	-0.001672232	0.000938541	0.075063253	0.125325321	1	Not-Significant
X6951.26	ASIC4	ASIC4	-0.001175523	0.0006598	0.075085419	0.12533256	1	Not-Significant
X15516.12	SAA-4	SAA4	-0.015311064	0.008597374	0.075201216	0.125496047	1	Not-Significant
X19122.47	ML12B	MYL12B	-0.005172076	0.002904522	0.075232846	0.125509336	1	Not-Significant
X9004.24	CR001	LDLRAD4	-0.002526933	0.001419127	0.075244891	0.125509336	1	Not-Significant
X4304.18	"transcription factor MLR1, isoform CRA_b"	LCORL	-0.001491619	0.000838663	0.075584383	0.126020896	1	Not-Significant
X3420.21	Carbonic anhydrase XIII	CA13	-0.002305578	0.001296356	0.075591141	0.126020896	1	Not-Significant
X23561.4	CCD97	CCDC97	-0.00132653	0.000745899	0.075605366	0.126020896	1	Not-Significant
X23255.7	Rab-33A	RAB33A	-0.003387061	0.001905278	0.075720904	0.126183555	1	Not-Significant
X8232.90	JAML1	JAML	0.031551166	0.017767911	0.076045789	0.126694916	1	Not-Significant
X3413.50	BFL1	BCL2A1	-0.004199143	0.002369872	0.076685309	0.127730103	1	Not-Significant
X14008.22	DCP1A	DCP1A	0.002293478	0.001294761	0.076773302	0.127846373	1	Not-Significant
X23672.10	PSMD6	PSMD6	0.00390894	0.002207241	0.076839703	0.127926639	1	Not-Significant
X9524.46	S31D4	SPATA31D4	-0.001452973	0.000820713	0.076937012	0.128058313	1	Not-Significant
X23290.3	SMN	SMN1	-0.002291609	0.001294889	0.077049723	0.128215555	1	Not-Significant
X23595.6	LACC1	LACC1	0.002448144	0.00138365	0.077114265	0.128292583	1	Not-Significant
X21692.12	CD8A/CD8B Complex	CD8A|CD8B	-0.001270673	0.000718974	0.077444842	0.128812067	1	Not-Significant
X8008.28	HRK	HRK	-0.001352089	0.00076528	0.077541359	0.12894209	1	Not-Significant
X14051.54	FOXC2	FOXC2	-0.001273635	0.000721316	0.077715655	0.129201358	1	Not-Significant
X9983.97	PRS35	PRSS35	-0.001835057	0.001039507	0.077785424	0.129286769	1	Not-Significant
X18212.43	GSTM5-5	GSTM5	0.002213665	0.001254372	0.077883318	0.129418874	1	Not-Significant
X19297.4	G6PD	G6PD	-0.013601357	0.007710912	0.078023394	0.129605413	1	Not-Significant
X13733.5	IL-12 p40	IL12B	0.002371132	0.001344292	0.078032452	0.129605413	1	Not-Significant
X9823.2	DYR	DHFR	-0.002019585	0.001145201	0.078086495	0.129664534	1	Not-Significant
X18315.38	RTP4	RTP4	-0.001663659	0.00094349	0.078125608	0.129698843	1	Not-Significant
X18914.188	PAFA2	PAFAH2	-0.002106961	0.001195515	0.078278565	0.129893283	1	Not-Significant
X15346.31	IFN-g	IFNG	-0.003010412	0.00170814	0.078279691	0.129893283	1	Not-Significant
X9257.14	TACO1	TACO1	-0.001416694	0.000804943	0.078685578	0.130535975	1	Not-Significant
X18241.18	HEM6	CPOX	0.002719619	0.001545678	0.07877931	0.1306348	1	Not-Significant
X17734.13	a-endosulfine	ENSA	-0.001088666	0.000618772	0.078782318	0.1306348	1	Not-Significant
X2055.4	No Protein		-0.001674104	0.000951712	0.078845843	0.1307093	1	Not-Significant
X24236.46	VAT1L	VAT1L	0.006476162	0.003684042	0.079038132	0.130997178	1	Not-Significant
X8337.65	PTPRU	PTPRU	0.007197627	0.004101494	0.079552604	0.131816168	1	Not-Significant
X9886.28	XRCC4	XRCC4	-0.002628507	0.001497912	0.079569782	0.131816168	1	Not-Significant
X7174.15	CD38	CD38	-0.001341034	0.00076491	0.079845041	0.132225186	1	Not-Significant
X11690.47	APC7	ANAPC7	0.0011884	0.000677912	0.07987048	0.132225186	1	Not-Significant
X4392.54	FGF-12	FGF12	0.001656015	0.000944665	0.079873117	0.132225186	1	Not-Significant
X23669.20	GFPT2	GFPT2	-0.003446386	0.001966269	0.079920371	0.13227226	1	Not-Significant
X11246.3	LPLC1	BPIFB1	-0.010408338	0.005939612	0.079997282	0.132368384	1	Not-Significant
X22545.20	RALYL	RALYL	-0.001912262	0.001091608	0.080089265	0.132489396	1	Not-Significant
X10439.57	Alpha-amylase 2B	AMY2B	0.002841239	0.001622548	0.080204208	0.132648324	1	Not-Significant
X7919.278	FAM3D	FAM3D	-0.002405227	0.001374811	0.080482628	0.13305463	1	Not-Significant
X5481.16	RASA1	RASA1	0.003563693	0.002037029	0.080487735	0.13305463	1	Not-Significant
X17821.20	NMT2	NMT2	-0.001553695	0.000888718	0.080696907	0.133369048	1	Not-Significant
X25275.30	HDAC4	HDAC4	-0.001656469	0.000947701	0.080760083	0.133442083	1	Not-Significant
X23384.19	KCD17	KCTD17	0.002973672	0.001701517	0.080798752	0.133468546	1	Not-Significant
X4666.200	No Protein		-0.001571476	0.000899275	0.080829511	0.133468546	1	Not-Significant
X3072.4	IL-13	IL13	-0.001378373	0.000788774	0.080833063	0.133468546	1	Not-Significant
X21231.3	ACHA5	CHRNA5	0.001576536	0.000902418	0.080911453	0.133566605	1	Not-Significant
X6027.31	REL3	RLN3	-0.001243457	0.000711838	0.080943659	0.133588397	1	Not-Significant
X11563.51	SYTL4:C2 2	SYTL4	-0.002384054	0.001365353	0.081068693	0.133763343	1	Not-Significant
X12540.25	RHOG	RHOG	0.00514341	0.002946049	0.081108487	0.133778727	1	Not-Significant
X3593.72	Caspase-3	CASP3	-0.004298237	0.002461981	0.081116081	0.133778727	1	Not-Significant
X20525.200	PDIA4	PDIA4	0.008134309	0.004659554	0.081135314	0.133779057	1	Not-Significant
X13512.28	HNRPR	HNRNPR	0.001681759	0.000964277	0.081421362	0.13421922	1	Not-Significant
X3727.35	PYY	PYY	0.002529704	0.001450799	0.08149784	0.13431379	1	Not-Significant
X11672.17	KI16B	KIF16B	-0.00132965	0.000762705	0.081557683	0.134363599	1	Not-Significant
X23016.24	RBP56	TAF15	-0.001826523	0.00104773	0.081566294	0.134363599	1	Not-Significant
X11421.10	EHD4	EHD4	-0.002379721	0.0013657	0.081698142	0.13454926	1	Not-Significant
X9486.13	DB125	DEFB125	-0.001101546	0.000632475	0.08184911	0.134766315	1	Not-Significant
X7099.33	FSTL5	FSTL5	0.011914741	0.006842158	0.081891503	0.134804538	1	Not-Significant
X15688.30	Mannose-binding lectin	LMAN1	0.002472757	0.001420905	0.082086413	0.135065143	1	Not-Significant
X12885.42	NR1D2	NR1D2	0.001537391	0.000883425	0.082088247	0.135065143	1	Not-Significant
X11566.48	Keratin 72	KRT72	-0.001440815	0.000828159	0.082172847	0.135172698	1	Not-Significant
X6440.31	MFAP5	MFAP5	0.00237025	0.0013625	0.082205083	0.135194087	1	Not-Significant
X23028.49	SDCB2	SDCBP2	-0.002834392	0.001631245	0.082562478	0.135725086	1	Not-Significant
X18899.82	HDGR3	HDGFL3	0.002467269	0.001419978	0.082568474	0.135725086	1	Not-Significant
X11263.57	CASQ1	CASQ1	0.004317481	0.002484973	0.082585886	0.135725086	1	Not-Significant
X5900.11	HINT1	HINT1	0.003400652	0.00195773	0.082657772	0.135811472	1	Not-Significant
X23673.9	ODB2	DBT	-0.002644501	0.001523149	0.082803364	0.136018894	1	Not-Significant
X18891.98	GBP2	GBP2	0.014576102	0.008397574	0.08290623	0.13615605	1	Not-Significant
X24430.11	ZN580	ZNF580	-0.001209788	0.000697618	0.083169957	0.136557259	1	Not-Significant
X11542.11	TM230	TMEM230	-0.002139947	0.001234211	0.083219269	0.136606315	1	Not-Significant
X8775.61	FA24B	FAM24B	0.001640626	0.00094657	0.083331454	0.136758531	1	Not-Significant
X20922.4	PROF4	PFN4	-0.00226515	0.001307038	0.08336468	0.136781124	1	Not-Significant
X7797.11	CC167	CCDC167	-0.001778589	0.001026605	0.083463501	0.136911306	1	Not-Significant
X7991.54	IQCF1	IQCF1	-0.003185874	0.001840053	0.08365519	0.137193732	1	Not-Significant
X20561.15	CNTN6	CNTN6	0.007917084	0.004575608	0.083854697	0.137488841	1	Not-Significant
X23276.14	CB068	C2orf68	0.005175879	0.002991973	0.083950952	0.137614561	1	Not-Significant
X18429.10	Cadherin E	CDH1	0.003553268	0.002055096	0.084095068	0.137799399	1	Not-Significant
X4140.3	IL-7	IL7	0.001818551	0.001051847	0.08410292	0.137799399	1	Not-Significant
X20382.8	MSPD1	MOSPD1	-0.001264122	0.000731247	0.084145811	0.137816712	1	Not-Significant
X3459.49	PDGF Rb	PDGFRB	0.006576316	0.003804367	0.0841527	0.137816712	1	Not-Significant
X10440.26	ACAM:ECD	CLMP	0.007397342	0.00428313	0.084426129	0.1382323	1	Not-Significant
X2867.52	PKB	AKT1	0.001450296	0.000840185	0.084598351	0.138482024	1	Not-Significant
X14645.253	GSTA4	GSTA4	-0.002054728	0.001191199	0.08482619	0.138822651	1	Not-Significant
X17199.43	HIF1N	HIF1AN	0.006692964	0.003880631	0.084856874	0.138840542	1	Not-Significant
X9412.52	Activin RIIB	ACVR2B	-0.001259164	0.000730735	0.085139976	0.139245787	1	Not-Significant
X24679.35	ETV7	ETV7	0.002709207	0.001572223	0.085144173	0.139245787	1	Not-Significant
X11465.4	GP135	GPR135	0.002462892	0.001429506	0.085185086	0.139265531	1	Not-Significant
X3374.49	HCK	HCK	-0.001831392	0.001063012	0.085195872	0.139265531	1	Not-Significant
X9392.43	MGT4A	MGAT4A	-0.002078808	0.001207095	0.08532367	0.139442009	1	Not-Significant
X25466.84	KMO	KMO	-0.001735117	0.001008177	0.085524364	0.139737507	1	Not-Significant
X24027.32	IFNE1	IFNE	0.002313739	0.001344817	0.085619377	0.139855234	1	Not-Significant
X11712.207	UN45A	UNC45A	-0.001359858	0.000790424	0.085636211	0.139855234	1	Not-Significant
X24434.16	PHYIP	PHYHIP	0.002710695	0.001575679	0.08565805	0.139858405	1	Not-Significant
X3798.71	Carbonic anhydrase 9	CA9	-0.001479358	0.000860251	0.085766634	0.1399985	1	Not-Significant
X24702.31	CC149	CCDC149	0.001349486	0.000784768	0.085783688	0.1399985	1	Not-Significant
X9226.6	TMUB2	TMUB2	0.001281063	0.00074516	0.085861243	0.140092543	1	Not-Significant
X7085.81	CDSN	CDSN	-0.001371746	0.000799662	0.086547875	0.141180091	1	Not-Significant
X9987.30	LRC25:CD	LRRC25	-0.001617518	0.000943515	0.086743728	0.141466744	1	Not-Significant
X17372.5	4EBP1	EIF4EBP1	0.001515732	0.000884941	0.087025704	0.141893684	1	Not-Significant
X7864.3	SIGL8	SIGLEC8	-0.001262612	0.00073736	0.087111508	0.142000647	1	Not-Significant
X21981.2	Integrin alpha-M	ITGAM	-0.006028456	0.003521181	0.087224223	0.142128537	1	Not-Significant
X12528.40	WRIP1	WRNIP1	-0.001637451	0.000956622	0.087230404	0.142128537	1	Not-Significant
X25261.42	ANKS3	ANKS3	-0.00143935	0.000841146	0.087325606	0.14225068	1	Not-Significant
X11280.6	DCE1	GAD1	0.002944258	0.001721122	0.087420369	0.142372051	1	Not-Significant
X18398.1	AK1D1	AKR1D1	-0.00126486	0.000740723	0.087987438	0.143262382	1	Not-Significant
X21375.34	R3GEF	RAB3IL1	-0.003353701	0.001964871	0.088135557	0.143470317	1	Not-Significant
X4481.34	C4	C4A|C4B	-0.010765925	0.006312056	0.088358381	0.14377804	1	Not-Significant
X2785.15	MCP-2	CCL8	-0.001842631	0.001080357	0.088365505	0.14377804	1	Not-Significant
X6219.14	PDZ11	PDZD11	0.001603984	0.00094222	0.088967593	0.144724186	1	Not-Significant
X24418.14	HMX3	HMX3	-0.001393524	0.00081886	0.089073878	0.14485329	1	Not-Significant
X3831.21	pTEN	PTEN	-0.00226635	0.001331794	0.089088174	0.14485329	1	Not-Significant
X22576.1	DC-SIGN	CD209	0.003913181	0.002300394	0.089211749	0.144988983	1	Not-Significant
X22374.56	HEY1	HEY1	0.001514709	0.000890458	0.089212883	0.144988983	1	Not-Significant
X6929.10	SIA8C	ST8SIA3	0.001653876	0.000972666	0.08934411	0.145168689	1	Not-Significant
X5615.62	F172A	FAM172A	-0.001414328	0.000832165	0.08949042	0.145372813	1	Not-Significant
X8850.5	PA2GC	PLA2G2C	-0.001195705	0.000704016	0.089716518	0.145706425	1	Not-Significant
X8978.30	M4K3	MAP4K3	-0.001301494	0.000767714	0.09030027	0.146620605	1	Not-Significant
X25446.34	DDI2	DDI2	-0.006043804	0.003570475	0.090802398	0.147378863	1	Not-Significant
X6933.20	RM34	MRPL34	-0.000975806	0.00057654	0.09082687	0.147378863	1	Not-Significant
X12761.12	APBB2:PID 2	APBB2	-0.001490732	0.000880782	0.090830165	0.147378863	1	Not-Significant
X7867.154	SIA7A	ST6GALNAC1	-0.003047733	0.001800977	0.09088999	0.147441898	1	Not-Significant
X9111.40	JPH4	JPH4	-0.001092366	0.000645789	0.091015433	0.147611324	1	Not-Significant
X5034.79	Trypsin 2	PRSS2	-0.021136335	0.012503595	0.091226001	0.147918698	1	Not-Significant
X14128.121	IFN10	IFNA10	0.002361085	0.00139703	0.091292882	0.147993005	1	Not-Significant
X25922.7	LRP5	LRP5	-0.001141401	0.000675439	0.091340643	0.148036287	1	Not-Significant
X14708.59	CO8G	C8G	-0.011654524	0.00690155	0.091559485	0.148356758	1	Not-Significant
X9003.99	MARCO	MARCO	0.002042601	0.001210268	0.09174648	0.148625491	1	Not-Significant
X23572.186	TYW3	TYW3	-0.001817848	0.001078085	0.092042703	0.149052125	1	Not-Significant
X5759.10	Ephrin-A3	EFNA3	0.009572797	0.005677443	0.092052251	0.149052125	1	Not-Significant
X24293.39	NLTP:isoform 6	SCP2	-0.003782593	0.002244701	0.092243719	0.149327752	1	Not-Significant
X8318.13	SPRE1	SPRED1	-0.001561149	0.000926535	0.092280275	0.149352533	1	Not-Significant
X5737.61	SEM4D	SEMA4D	0.009202775	0.005462689	0.092332252	0.149402256	1	Not-Significant
X17449.23	CD9	CD9	0.001942529	0.001153188	0.092368634	0.149426727	1	Not-Significant
X20557.19	VSIG8	VSIG8	-0.002098925	0.001246207	0.09241438	0.149466332	1	Not-Significant
X24457.12	USF2	USF2	0.001172785	0.000696862	0.092662515	0.149833176	1	Not-Significant
X9326.33	ITI heavy chain H2	ITIH2	-0.011152307	0.006628724	0.092765912	0.149965869	1	Not-Significant
X22528.1	PHF11	PHF11	-0.02079048	0.012362067	0.092885377	0.150124468	1	Not-Significant
X9468.8	"Lectin, mannose-binding 2"	LMAN2	0.004330248	0.002579454	0.093479755	0.151050391	1	Not-Significant
X24959.20	NB5R4	CYB5R4	0.003057287	0.001823509	0.093915302	0.151719295	1	Not-Significant
X21290.66	HUS1	HUS1	0.004013459	0.002394893	0.094048369	0.151899353	1	Not-Significant
X18935.14	TLR5	TLR5	-0.009850153	0.00588014	0.094185008	0.152085096	1	Not-Significant
X10978.39	SOM2	GH2	0.001262395	0.00075371	0.094236069	0.152132598	1	Not-Significant
X21837.3	SSRB	SSR2	-0.002559536	0.001529876	0.094613625	0.152707042	1	Not-Significant
X17336.54	CR3L2	CREB3L2	-0.001698246	0.001016387	0.095030368	0.153344458	1	Not-Significant
X15533.97	Macrophage scavenger receptor:ECD	MSR1	0.004333763	0.002594267	0.095096521	0.153415985	1	Not-Significant
X13117.232	CHKB	CHKB	-0.002097441	0.001255679	0.095132718	0.153439164	1	Not-Significant
X3719.2	p27Kip1	CDKN1B	-0.00195897	0.001174209	0.095530959	0.154046137	1	Not-Significant
X3044.3	PARC	CCL18	-0.018658004	0.011184922	0.095567662	0.154069977	1	Not-Significant
X8357.43	ST4A1	SULT4A1	-0.002542974	0.001525347	0.095766989	0.15435592	1	Not-Significant
X25308.8	LIMK1	LIMK1	-0.004036134	0.002421717	0.095867059	0.154481787	1	Not-Significant
X18171.25	I-TAC	CXCL11	0.001467926	0.000881022	0.095961008	0.154597737	1	Not-Significant
X20079.6	PCKGM	PCK2	0.006925519	0.00415918	0.096179525	0.154914272	1	Not-Significant
X19511.8	DCNL2	DCUN1D2	-0.001677744	0.001007934	0.096287832	0.155053189	1	Not-Significant
X7742.11	RN148:region 1	RNF148	-0.001148011	0.0006902	0.096531758	0.155410382	1	Not-Significant
X24277.22	CPNE7	CPNE7	-0.001277067	0.000768134	0.096680038	0.155613462	1	Not-Significant
X15304.1	PAP1	REG3A	0.022326863	0.013431882	0.096749469	0.155689564	1	Not-Significant
X5722.78	Prolylcarboxypeptidase	PRCP	0.007052451	0.004244252	0.096864053	0.155838277	1	Not-Significant
X4267.81	PESC	PES1	-0.001449268	0.000872508	0.096987622	0.156001371	1	Not-Significant
X14747.9	CRLF1	CRLF1	0.008004113	0.00482494	0.097415591	0.156653898	1	Not-Significant
X6587.6	LRFN5	LRFN5	0.003333692	0.002009885	0.097467556	0.156701614	1	Not-Significant
X4499.21	PDGF-AA	PDGFA	-0.002427059	0.001464896	0.097835825	0.15725772	1	Not-Significant
X19347.37	Carbonic Anhydrase XII	CA12	-0.003911467	0.00236141	0.097918899	0.157329649	1	Not-Significant
X19371.18	MARE1	MAPRE1	0.002025002	0.001222555	0.09792534	0.157329649	1	Not-Significant
X12008.3	CD7	CD7	0.006509191	0.003933044	0.098208308	0.157748216	1	Not-Significant
X12696.166	ANM3	PRMT3	0.002190544	0.001325221	0.0986205	0.158354131	1	Not-Significant
X22050.19	KXDL1	KXD1	-0.001115863	0.000675077	0.098630586	0.158354131	1	Not-Significant
X14139.16	NRG4	NRG4	0.003136916	0.001898083	0.098676849	0.15839223	1	Not-Significant
X7789.182	PRDX4	PRDX4	-0.001285245	0.000777739	0.098706967	0.1584044	1	Not-Significant
X9984.12	YIPF6	YIPF6	-0.001041806	0.000630715	0.098860738	0.158614957	1	Not-Significant
X13493.5	GRID1	GRID1	0.001436696	0.000869934	0.098916923	0.158668884	1	Not-Significant
X23024.25	SAR1A	SAR1A	-0.001914144	0.001159205	0.099003573	0.158771644	1	Not-Significant
X16836.1	FHR3	CFHR3	-0.001455763	0.000882381	0.099271012	0.15916422	1	Not-Significant
X5757.45	GNAS3	GNAS	-0.001234003	0.00074875	0.099619555	0.159669353	1	Not-Significant
X6576.1	ART4	ART4	0.004223013	0.002562471	0.099634911	0.159669353	1	Not-Significant
X12451.62	BACH1	BACH1	-0.001346404	0.000817035	0.099654212	0.159669353	1	Not-Significant
X6234.74	VITRN	VIT	-0.006416385	0.003894257	0.099705835	0.15971566	1	Not-Significant
X7945.10	Semaphorin-6A	SEMA6A	0.009287049	0.005638272	0.099808836	0.159844226	1	Not-Significant
X20091.138	Ephrin-A1	EFNA1	0.007863926	0.004775526	0.099896163	0.159931562	1	Not-Significant
X6627.25	LIPR1	PNLIPRP1	-0.002307673	0.001401401	0.099908876	0.159931562	1	Not-Significant
X3708.62	a2-Macroglobulin	A2M	0.016031511	0.009738662	0.100007219	0.160052537	1	Not-Significant
X8681.93	PGRC2:N-term	PGRMC2	-0.002410913	0.001465922	0.10032807	0.160529479	1	Not-Significant
X6955.68	SNX1	SNX1	-0.002294087	0.001395571	0.100492431	0.160755872	1	Not-Significant
X4163.5	Histone H2A.z	H2AZ1	-0.001158664	0.000704945	0.100535774	0.160788614	1	Not-Significant
X22517.106	NSE2	NSMCE2	-0.001689227	0.001027962	0.100612004	0.160873926	1	Not-Significant
X18177.49	ULA1	NAE1	-0.001989014	0.00121119	0.100831275	0.161187862	1	Not-Significant
X14063.17	OSM	OSM	-0.001115874	0.000679906	0.101036074	0.161478527	1	Not-Significant
X5915.58	PEX5	PEX5	0.001241097	0.000757332	0.101542556	0.162251108	1	Not-Significant
X11669.39	SO5A1	SLCO5A1	-0.001410912	0.000861227	0.101649618	0.162385265	1	Not-Significant
X6633.43	UPK3L	None	-0.002610259	0.001593896	0.101783151	0.162561638	1	Not-Significant
X14124.6	Ephrin-A2	EFNA2	0.009133772	0.00557875	0.101859268	0.16264625	1	Not-Significant
X13565.2	p130	RBL2	0.005668355	0.00346735	0.102379469	0.163419263	1	Not-Significant
X21116.13	EED	EED	-0.003140937	0.001921395	0.102389876	0.163419263	1	Not-Significant
X13429.3	WF10A	WFDC10A	-0.00211709	0.00129539	0.102473972	0.163516357	1	Not-Significant
X13457.33	ELF5	ELF5	-0.001404244	0.00085952	0.102592495	0.163668327	1	Not-Significant
