database	model	descr	descr_cleaned	ninter	nunion	jaccard_similarity
WikiPathway_2023_Human	gpt-3.5-turbo-0125	2Q21 1 Copy Number Variation Syndrome WP5223	2Q21 1 Copy Number Variation Syndrome	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	2Q37 Copy Number Variation Syndrome WP5224	2Q37 Copy Number Variation Syndrome	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Hippocampal Synaptogenesis And Neurogenesis WP5231	Hippocampal Synaptogenesis And Neurogenesis	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Arsenic Metabolism And Reactive Oxygen Species Generation WP5233	Arsenic Metabolism And Reactive Oxygen Species Generation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Bardet Biedl Syndrome WP5234	Bardet Biedl Syndrome	8	8	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Markers Of Kidney Cell Lineage WP5236	Markers Of Kidney Cell Lineage	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Cholestasis WP5238	Cholestasis	3	5	0.6
WikiPathway_2023_Human	gpt-3.5-turbo-0125	G13 Signaling Pathway WP524	G13 Signaling Pathway	0	5	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Mitochondrial Beta Oxidation WP5241	Mitochondrial Beta Oxidation	1	9	0.1111111111111111
WikiPathway_2023_Human	gpt-3.5-turbo-0125	COVID 19 And Endothelial Cell Senescence WP5256	COVID 19 And Endothelial Cell Senescence	0	3	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Genetic Causes Of Porto Sinusoidal Vascular Disease WP5269	Genetic Causes Of Porto Sinusoidal Vascular Disease	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	LDL Influence On CD14 And TLR4 WP5272	LDL Influence On CD14 And TLR4	2	2	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Effect Of Intestinal Microbiome On Anticoagulant Response Of Vitamin K Antagonists WP5273	Effect Of Intestinal Microbiome On Anticoagulant Response Of Vitamin K Antagonists	2	2	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Ether Lipid Biosynthesis WP5275	Ether Lipid Biosynthesis	0	2	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Estrogen Metabolism WP5276	Estrogen Metabolism	1	5	0.2
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Steroid Hormone Precursor Biosynthesis WP5277	Steroid Hormone Precursor Biosynthesis	2	3	0.6666666666666666
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Mineralocorticoid Biosynthesis WP5279	Mineralocorticoid Biosynthesis	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Acetylcholine Synthesis WP528	Acetylcholine Synthesis	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Glucocorticoid Biosynthesis WP5280	Glucocorticoid Biosynthesis	4	6	0.6666666666666666
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Chronic Hyperglycemia Impairment Of Neuron Function WP5283	Chronic Hyperglycemia Impairment Of Neuron Function	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Cell Interactions Of The Pancreatic Cancer Microenvironment WP5284	Cell Interactions Of The Pancreatic Cancer Microenvironment	0	3	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Immune Infiltration In Pancreatic Cancer WP5285	Immune Infiltration In Pancreatic Cancer	3	5	0.6
WikiPathway_2023_Human	gpt-3.5-turbo-0125	17Q12 Copy Number Variation Syndrome WP5287	17Q12 Copy Number Variation Syndrome	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Glycosphingolipid Metabolism WP5292	Glycosphingolipid Metabolism	0	4	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Sildenafil Treatment WP5294	Sildenafil Treatment	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Ganglio Series Sphingolipid Metabolism WP5299	Ganglio Series Sphingolipid Metabolism	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	ID Signaling Pathway WP53	ID Signaling Pathway	0	3	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Cytokines And Inflammatory Response WP530	Cytokines And Inflammatory Response	3	6	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	TROP2 Regulatory Signaling WP5300	TROP2 Regulatory Signaling	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Lacto Series Sphingolipid Metabolism WP5303	Lacto Series Sphingolipid Metabolism	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Cholesterol Metabolism WP5304	Cholesterol Metabolism	3	4	0.75
WikiPathway_2023_Human	gpt-3.5-turbo-0125	DNA Mismatch Repair WP531	DNA Mismatch Repair	3	11	0.2727272727272727
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Metabolic Pathways Of Fibroblasts WP5312	Metabolic Pathways Of Fibroblasts	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Carnosine Metabolism Of Glial Cells WP5313	Carnosine Metabolism Of Glial Cells	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Lactate Shuttle In Glial Cells WP5314	Lactate Shuttle In Glial Cells	2	3	0.6666666666666666
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Sebaleic Acid Formation And Metabolism WP5315	Sebaleic Acid Formation And Metabolism	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Primary Ovarian Insufficiency WP5316	Primary Ovarian Insufficiency	0	4	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Female Steroid Hormones In Cardiomyocyte Energy Metabolism WP5318	Female Steroid Hormones In Cardiomyocyte Energy Metabolism	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Male Steroid Hormones In Cardiomyocyte Energy Metabolism WP5320	Male Steroid Hormones In Cardiomyocyte Energy Metabolism	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Prostaglandin And Leukotriene Metabolism In Senescence WP5321	Prostaglandin And Leukotriene Metabolism In Senescence	2	4	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	CKAP4 Signaling Pathway Map WP5322	CKAP4 Signaling Pathway Map	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Fatty Acids And Lipoproteins Transport In Hepatocytes WP5323	Fatty Acids And Lipoproteins Transport In Hepatocytes	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Octadecanoid Formation From Linoleic Acid WP5324	Octadecanoid Formation From Linoleic Acid	0	2	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Cholesterol Biosynthesis Pathway In Hepatocytes WP5329	Cholesterol Biosynthesis Pathway In Hepatocytes	2	7	0.2857142857142857
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Autophagy In Pancreatic Ductal Adenocarcinoma WP5331	Autophagy In Pancreatic Ductal Adenocarcinoma	1	4	0.25
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Enterocyte Cholesterol Metabolism WP5333	Enterocyte Cholesterol Metabolism	2	4	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Induction Of Autophagy And Toll Like Receptor Signaling Pathways By Graphene Oxide WP5336	Induction Of Autophagy And Toll Like Receptor Signaling Pathways By Graphene Oxide	0	2	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Glycolysis And Gluconeogenesis WP534	Glycolysis And Gluconeogenesis	5	23	0.21739130434782608
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Pathophysiological Roles Of DUX4 In FSHD1 WP5342	Pathophysiological Roles Of DUX4 In FSHD1	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Abnormal Calcium Handling And Its Effects On Muscle Contraction In DMD WP5343	Abnormal Calcium Handling And Its Effects On Muscle Contraction In DMD	2	2	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Cardiomyocyte Signaling Pathways Converging On Titin WP5344	Cardiomyocyte Signaling Pathways Converging On Titin	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	1P36 Copy Number Variation Syndrome WP5345	1P36 Copy Number Variation Syndrome	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	8P23 1 Copy Number Variation Syndrome WP5346	8P23 1 Copy Number Variation Syndrome	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	IL 26 Signaling Pathways WP5347	IL 26 Signaling Pathways	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	11P11 2 Copy Number Variation Syndrome WP5348	11P11 2 Copy Number Variation Syndrome	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Kleefstra Syndrome WP5351	Kleefstra Syndrome	1	2	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	10Q11 21Q11 23 Copy Number Variation Syndrome WP5352	10Q11 21Q11 23 Copy Number Variation Syndrome	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	A Network Map Of Macrophage Stimulating Protein MSP Signaling WP5353	A Network Map Of Macrophage Stimulating Protein MSP Signaling	0	4	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Metabolic Epileptic Disorders WP5355	Metabolic Epileptic Disorders	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Disturbed Pathways In Duchenne Muscular Dystrophy WP5356	Disturbed Pathways In Duchenne Muscular Dystrophy	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	JAK STAT Signaling In The Regulation Of Beta Cells WP5358	JAK STAT Signaling In The Regulation Of Beta Cells	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Calcium Regulation In Cardiac Cells WP536	Calcium Regulation In Cardiac Cells	2	3	0.6666666666666666
WikiPathway_2023_Human	gpt-3.5-turbo-0125	TAR Syndrome WP5362	TAR Syndrome	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	4P16 3 Copy Number Variation WP5365	4P16 3 Copy Number Variation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	NF1 Copy Number Variation Syndrome WP5366	NF1 Copy Number Variation Syndrome	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Sulfatase And Aromatase Pathway WP5368	Sulfatase And Aromatase Pathway	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Involvement Of Secretase In Neurodegenerative Diseases WP5372	Involvement Of Secretase In Neurodegenerative Diseases	3	3	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Role Of Hypoxia Angiogenesis And FGF Pathway In OA Chondrocyte Hypertrophy WP5373	Role Of Hypoxia Angiogenesis And FGF Pathway In OA Chondrocyte Hypertrophy	1	2	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	17P13 3 YWHAE Copy Number Variation WP5376	17P13 3 YWHAE Copy Number Variation	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	5Q35 Copy Number Variation WP5380	5Q35 Copy Number Variation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Smith Magenis And Potocki Lupski Syndrome Copy Number Variation WP5381	Smith Magenis And Potocki Lupski Syndrome Copy Number Variation	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	TGF Smad Signaling Pathway WP5382	TGF Smad Signaling Pathway	6	7	0.8571428571428571
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Growth Factors And Hormones In Beta Cell Proliferation WP5385	Growth Factors And Hormones In Beta Cell Proliferation	0	3	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Pancreatic Cancer Subtypes WP5390	Pancreatic Cancer Subtypes	2	5	0.4
WikiPathway_2023_Human	gpt-3.5-turbo-0125	UDP Derived Sugars Synthesis In Fibroblasts WP5394	UDP Derived Sugars Synthesis In Fibroblasts	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Glycosaminoglycan Synthesis In Fibroblasts WP5395	Glycosaminoglycan Synthesis In Fibroblasts	0	4	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Enterohepatic Circulation Of Bile Acids WP5396	Enterohepatic Circulation Of Bile Acids	0	4	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Vitamin A1 And A5 X Pathways WP5397	Vitamin A1 And A5 X Pathways	0	2	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	NRXN1 Deletion Syndrome WP5398	NRXN1 Deletion Syndrome	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	NPHP1 Deletion Syndrome WP5399	NPHP1 Deletion Syndrome	1	4	0.25
WikiPathway_2023_Human	gpt-3.5-turbo-0125	6Q16 Copy Number Variation WP5400	6Q16 Copy Number Variation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	7Q11 23 Distal Copy Number Variation WP5401	7Q11 23 Distal Copy Number Variation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	10Q22Q23 Copy Number Variation WP5402	10Q22Q23 Copy Number Variation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	13Q12 12 Copy Number Variation WP5406	13Q12 12 Copy Number Variation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	15Q11Q13 Copy Number Variation WP5407	15Q11Q13 Copy Number Variation	1	2	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	15Q25 Copy Number Variation WP5408	15Q25 Copy Number Variation	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	PAFAH1B1 Copy Number Variation WP5409	PAFAH1B1 Copy Number Variation	1	2	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	8Q11 23 RB1CC1 Copy Number Variation WP5412	8Q11 23 RB1CC1 Copy Number Variation	0	1	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	IL 24 Signaling Pathway WP5413	IL 24 Signaling Pathway	1	1	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	IDO Metabolic Pathway WP5414	IDO Metabolic Pathway	2	2	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Complement Activation WP545	Complement Activation	17	28	0.6071428571428571
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Biogenic Amine Synthesis WP550	Biogenic Amine Synthesis	2	9	0.2222222222222222
WikiPathway_2023_Human	gpt-3.5-turbo-0125	ACE Inhibitor Pathway WP554	ACE Inhibitor Pathway	1	6	0.16666666666666666
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Complement And Coagulation Cascades WP558	Complement And Coagulation Cascades	16	43	0.37209302325581395
WikiPathway_2023_Human	gpt-3.5-turbo-0125	TGF Beta Receptor Signaling WP560	TGF Beta Receptor Signaling	6	9	0.6666666666666666
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Heme Biosynthesis WP561	Heme Biosynthesis	3	5	0.6
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Monoamine GPCRs WP58	Monoamine GPCRs	20	47	0.425531914893617
WikiPathway_2023_Human	gpt-3.5-turbo-0125	EPO Receptor Signaling WP581	EPO Receptor Signaling	2	5	0.4
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Interferon Type I Signaling Pathways WP585	Interferon Type I Signaling Pathways	0	6	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Notch Signaling Pathway WP61	Notch Signaling Pathway	4	12	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Type II Interferon Signaling WP619	Type II Interferon Signaling	4	8	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Oxidative Phosphorylation WP623	Oxidative Phosphorylation	0	75	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	ErbB Signaling Pathway WP673	ErbB Signaling Pathway	4	4	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Arachidonate Epoxygenase Epoxide Hydrolase WP678	Arachidonate Epoxygenase Epoxide Hydrolase	3	4	0.75
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Catalytic Cycle Of Mammalian Flavin Containing Monooxygenases FMOs WP688	Catalytic Cycle Of Mammalian Flavin Containing Monooxygenases FMOs	4	5	0.8
WikiPathway_2023_Human	gpt-3.5-turbo-0125	T Cell Receptor Signaling Pathway WP69	T Cell Receptor Signaling Pathway	4	6	0.6666666666666666
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Tamoxifen Metabolism WP691	Tamoxifen Metabolism	2	4	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Sulfation Biotransformation Reaction WP692	Sulfation Biotransformation Reaction	3	3	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Arylamine Metabolism WP694	Arylamine Metabolism	3	4	0.75
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Benzo A Pyrene Metabolism WP696	Benzo A Pyrene Metabolism	3	3	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Estrogen Metabolism WP697	Estrogen Metabolism	1	5	0.2
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Glucuronidation WP698	Glucuronidation	4	11	0.36363636363636365
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Aflatoxin B1 Metabolism WP699	Aflatoxin B1 Metabolism	3	5	0.6
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Metapathway Biotransformation Phase I And II WP702	Metapathway Biotransformation Phase I And II	3	8	0.375
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Methylation Pathways WP704	Methylation Pathways	3	3	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706	Sudden Infant Death Syndrome SIDS Susceptibility Pathways	0	0	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	DNA Damage Response WP707	DNA Damage Response	5	12	0.4166666666666667
WikiPathway_2023_Human	gpt-3.5-turbo-0125	DNA Damage Response Only ATM Dependent WP710	DNA Damage Response Only ATM Dependent	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Estrogen Signaling Pathway WP712	Estrogen Signaling Pathway	1	2	0.5
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Vitamin A And Carotenoid Metabolism WP716	Vitamin A And Carotenoid Metabolism	2	7	0.2857142857142857
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Serotonin HTR1 Group And FOS Pathway WP722	Serotonin HTR1 Group And FOS Pathway	5	6	0.8333333333333334
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Monoamine Transport WP727	Monoamine Transport	1	3	0.3333333333333333
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Serotonin Receptor 2 And ELK SRF GATA4 Signaling WP732	Serotonin Receptor 2 And ELK SRF GATA4 Signaling	4	4	1.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Serotonin Receptor 4 6 7 And NR3C Signaling WP734	Serotonin Receptor 4 6 7 And NR3C Signaling	0	4	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Toll Like Receptor Signaling Pathway WP75	Toll Like Receptor Signaling Pathway	2	20	0.1
WikiPathway_2023_Human	gpt-3.5-turbo-0125	TCA Cycle Aka Krebs Or Citric Acid Cycle WP78	TCA Cycle Aka Krebs Or Citric Acid Cycle	8	18	0.4444444444444444
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Nucleotide GPCRs WP80	Nucleotide GPCRs	0	8	0.0
WikiPathway_2023_Human	gpt-3.5-turbo-0125	Prostaglandin Synthesis And Regulation WP98	Prostaglandin Synthesis And Regulation	2	4	0.5
WikiPathway_2023_Human	gpt-4o-2024-08-06	Glutathione Metabolism WP100	Glutathione Metabolism	7	18	0.3888888888888889
WikiPathway_2023_Human	gpt-4o-2024-08-06	Alanine And Aspartate Metabolism WP106	Alanine And Aspartate Metabolism	3	4	0.75
WikiPathway_2023_Human	gpt-4o-2024-08-06	Translation Factors WP107	Translation Factors	10	30	0.3333333333333333
WikiPathway_2023_Human	gpt-4o-2024-08-06	Electron Transport Chain OXPHOS System In Mitochondria WP111	Electron Transport Chain OXPHOS System In Mitochondria	29	69	0.42028985507246375
WikiPathway_2023_Human	gpt-4o-2024-08-06	GPCRs Other WP117	GPCRs Other	0	2	0.0
WikiPathway_2023_Human	gpt-4o-2024-08-06	Osteoclast Signaling WP12	Osteoclast Signaling	3	10	0.3
WikiPathway_2023_Human	gpt-4o-2024-08-06	IL 5 Signaling Pathway WP127	IL 5 Signaling Pathway	4	10	0.4
WikiPathway_2023_Human	gpt-4o-2024-08-06	Matrix Metalloproteinases WP129	Matrix Metalloproteinases	21	23	0.9130434782608695
WikiPathway_2023_Human	gpt-4o-2024-08-06	Pentose Phosphate Metabolism WP134	Pentose Phosphate Metabolism	6	8	0.75
WikiPathway_2023_Human	gpt-4o-2024-08-06	Phase I Biotransformations Non P450 WP136	Phase I Biotransformations Non P450	5	8	0.625
WikiPathway_2023_Human	gpt-4o-2024-08-06	Androgen Receptor Signaling Pathway WP138	Androgen Receptor Signaling Pathway	2	9	0.2222222222222222
WikiPathway_2023_Human	gpt-4o-2024-08-06	AMP Activated Protein Kinase Signaling WP1403	AMP Activated Protein Kinase Signaling	8	12	0.6666666666666666
WikiPathway_2023_Human	gpt-4o-2024-08-06	Sphingolipid Pathway WP1422	Sphingolipid Pathway	8	21	0.38095238095238093
WikiPathway_2023_Human	gpt-4o-2024-08-06	Ganglio Sphingolipid Metabolism WP1423	Ganglio Sphingolipid Metabolism	0	6	0.0
WikiPathway_2023_Human	gpt-4o-2024-08-06	Bone Morphogenic Protein Signaling And Regulation WP1425	Bone Morphogenic Protein Signaling And Regulation	9	15	0.6
WikiPathway_2023_Human	gpt-4o-2024-08-06	Fatty Acid Beta Oxidation WP143	Fatty Acid Beta Oxidation	8	11	0.7272727272727273
WikiPathway_2023_Human	gpt-4o-2024-08-06	Nucleotide Binding Oligomerization Domain NOD Pathway WP1433	Nucleotide Binding Oligomerization Domain NOD Pathway	3	9	0.3333333333333333
WikiPathway_2023_Human	gpt-4o-2024-08-06	Osteopontin Signaling WP1434	Osteopontin Signaling	4	5	0.8
WikiPathway_2023_Human	gpt-4o-2024-08-06	Serotonin Transporter Activity WP1455	Serotonin Transporter Activity	1	9	0.1111111111111111
WikiPathway_2023_Human	gpt-4o-2024-08-06	Target Of Rapamycin Signaling WP1471	Target Of Rapamycin Signaling	8	19	0.42105263157894735
WikiPathway_2023_Human	gpt-4o-2024-08-06	Selenium Micronutrient Network WP15	Selenium Micronutrient Network	6	18	0.3333333333333333
WikiPathway_2023_Human	gpt-4o-2024-08-06	Physiological And Pathological Hypertrophy Of The Heart WP1528	Physiological And Pathological Hypertrophy Of The Heart	1	8	0.125
WikiPathway_2023_Human	gpt-4o-2024-08-06	miRNA Regulation Of DNA Damage Response WP1530	miRNA Regulation Of DNA Damage Response	3	12	0.25
WikiPathway_2023_Human	gpt-4o-2024-08-06	Vitamin D Metabolism WP1531	Vitamin D Metabolism	4	5	0.8
WikiPathway_2023_Human	gpt-4o-2024-08-06	Vitamin B12 Metabolism WP1533	Vitamin B12 Metabolism	4	9	0.4444444444444444
WikiPathway_2023_Human	gpt-4o-2024-08-06	Angiogenesis WP1539	Angiogenesis	5	19	0.2631578947368421
WikiPathway_2023_Human	gpt-4o-2024-08-06	Energy Metabolism WP1541	Energy Metabolism	9	31	0.2903225806451613
WikiPathway_2023_Human	gpt-4o-2024-08-06	MicroRNAs In Cardiomyocyte Hypertrophy WP1544	MicroRNAs In Cardiomyocyte Hypertrophy	0	7	0.0
WikiPathway_2023_Human	gpt-4o-2024-08-06	miRNAs Involved In DNA Damage Response WP1545	miRNAs Involved In DNA Damage Response	3	9	0.3333333333333333
WikiPathway_2023_Human	gpt-4o-2024-08-06	Transcription Factors Regulate miRNAs Related To Cardiac Hypertrophy WP1559	Transcription Factors Regulate miRNAs Related To Cardiac Hypertrophy	2	4	0.5
WikiPathway_2023_Human	gpt-4o-2024-08-06	Type II Diabetes Mellitus WP1584	Type II Diabetes Mellitus	4	10	0.4
WikiPathway_2023_Human	gpt-4o-2024-08-06	Folate Alcohol And Cancer Pathway Hypotheses WP1589	Folate Alcohol And Cancer Pathway Hypotheses	1	6	0.16666666666666666
WikiPathway_2023_Human	gpt-4o-2024-08-06	Heart Development WP1591	Heart Development	4	8	0.5
WikiPathway_2023_Human	gpt-4o-2024-08-06	Nicotine Metabolism In Liver Cells WP1600	Nicotine Metabolism In Liver Cells	1	4	0.25
WikiPathway_2023_Human	gpt-4o-2024-08-06	Fluoropyrimidine Activity WP1601	Fluoropyrimidine Activity	2	5	0.4
WikiPathway_2023_Human	gpt-4o-2024-08-06	Nicotine Effect On Dopaminergic Neurons WP1602	Nicotine Effect On Dopaminergic Neurons	4	6	0.6666666666666666
WikiPathway_2023_Human	gpt-4o-2024-08-06	Codeine And Morphine Metabolism WP1604	Codeine And Morphine Metabolism	1	5	0.2
WikiPathway_2023_Human	gpt-4o-2024-08-06	Eicosanoid Synthesis WP167	Eicosanoid Synthesis	6	8	0.75
WikiPathway_2023_Human	gpt-4o-2024-08-06	Nuclear Receptors WP170	Nuclear Receptors	2	31	0.06451612903225806
WikiPathway_2023_Human	gpt-4o-2024-08-06	TP53 Network WP1742	TP53 Network	5	14	0.35714285714285715
WikiPathway_2023_Human	gpt-4o-2024-08-06	Folate Metabolism WP176	Folate Metabolism	6	15	0.4
WikiPathway_2023_Human	gpt-4o-2024-08-06	Apoptosis Modulation And Signaling WP1772	Apoptosis Modulation And Signaling	8	18	0.4444444444444444
WikiPathway_2023_Human	gpt-4o-2024-08-06	Cell Cycle WP179	Cell Cycle	12	27	0.4444444444444444
WikiPathway_2023_Human	gpt-4o-2024-08-06	Proteasome Degradation WP183	Proteasome Degradation	31	41	0.7560975609756098
WikiPathway_2023_Human	gpt-4o-2024-08-06	Integrin Mediated Cell Adhesion WP185	Integrin Mediated Cell Adhesion	13	28	0.4642857142857143
WikiPathway_2023_Human	gpt-4o-2024-08-06	Homologous Recombination WP186	Homologous Recombination	6	13	0.46153846153846156
WikiPathway_2023_Human	gpt-4o-2024-08-06	Peroxisomal Beta Oxidation Of Tetracosanoyl CoA WP1941	Peroxisomal Beta Oxidation Of Tetracosanoyl CoA	1	2	0.5
WikiPathway_2023_Human	gpt-4o-2024-08-06	Cori Cycle WP1946	Cori Cycle	2	3	0.6666666666666666
WikiPathway_2023_Human	gpt-4o-2024-08-06	IL 1 Signaling Pathway WP195	IL 1 Signaling Pathway	8	12	0.6666666666666666
WikiPathway_2023_Human	gpt-4o-2024-08-06	Cholesterol Biosynthesis Pathway WP197	Cholesterol Biosynthesis Pathway	12	14	0.8571428571428571
WikiPathway_2023_Human	gpt-4o-2024-08-06	Integrated Cancer Pathway WP1971	Integrated Cancer Pathway	11	19	0.5789473684210527
WikiPathway_2023_Human	gpt-4o-2024-08-06	Thyroxine Thyroid Hormone Production WP1981	Thyroxine Thyroid Hormone Production	3	5	0.6
WikiPathway_2023_Human	gpt-4o-2024-08-06	Sterol Regulatory Element Binding Proteins SREBP Signaling WP1982	Sterol Regulatory Element Binding Proteins SREBP Signaling	6	9	0.6666666666666666
WikiPathway_2023_Human	gpt-4o-2024-08-06	SRF And miRs In Smooth Muscle Differentiation And Proliferation WP1991	SRF And miRs In Smooth Muscle Differentiation And Proliferation	4	9	0.4444444444444444
